Street,City,State,Zipcode,Unit,Rent,SqFt,Bedrooms,Bathrooms,Available
52 Hanover St,Portland,ME,04101,410,1995,408,0,1.0,0
52 Hanover St,Portland,ME,04101,406,2030,439,0,1.0,0
52 Hanover St,Portland,ME,04101,607,2295,515,0,1.0,0
52 Hanover St,Portland,ME,04101,517,2650,521,0,1.0,0
52 Hanover St,Portland,ME,04101,325,2650,582,0,1.0,0
52 Hanover St,Portland,ME,04101,705,2295,521,0,1.0,0
52 Hanover St,Portland,ME,04101,428,2325,553,0,1.0,0
52 Hanover St,Portland,ME,04101,429,2295,582,0,1.0,0
52 Hanover St,Portland,ME,04101,318,2825,701,1.0,1.0,0
52 Hanover St,Portland,ME,04101,327,2995,878,1.0,1.0,0
52 Hanover St,Portland,ME,04101,431,3100,878,1.0,1.0,0
52 Hanover St,Portland,ME,04101,305,2750,654,1.0,1.0,0
52 Hanover St,Portland,ME,04101,503,2850,689,1.0,1.0,0
52 Hanover St,Portland,ME,04101,532,2650,701,1.0,1.0,0
52 Hanover St,Portland,ME,04101,329,2625,719,1.0,1.0,0
52 Hanover St,Portland,ME,04101,514,3300,930,1.0,1.0,0
52 Hanover St,Portland,ME,04101,526,3200,1103,2.0,2.0,0
52 Hanover St,Portland,ME,04101,714,3995,1103,2.0,2.0,0
52 Hanover St,Portland,ME,04101,601,3300,1117,2.0,2.0,0
52 Hanover St,Portland,ME,04101,436,3550,1097,2.0,2.0,0
52 Hanover St,Portland,ME,04101,536,3575,1097,2.0,2.0,0
52 Hanover St,Portland,ME,04101,323,3600,1213,2.0,2.0,0
52 Hanover St,Portland,ME,04101,400,3825,1019,2.0,2.0,0
52 Hanover St,Portland,ME,04101,800,4995,1450,2.0,2.0,0
52 Hanover St,Portland,ME,04101,201,2596,1005,2.0,2.0,0
52 Hanover St,Portland,ME,04101,300,3975,1019,2.0,2.0,0
401 Cumberland Ave,Portland,ME,04101,1401,2575,950,2.0,2.0,0
401 Cumberland Ave,Portland,ME,04101,605,2400,910,2.0,1.0,0
401 Cumberland Ave,Portland,ME,04101,807,2225,910,2.0,1.5,0
401 Cumberland Ave,Portland,ME,04101,1603,3200,1100,2.0,1.5,0
401 Cumberland Ave,Portland,ME,04101,1604,3200,1100,2.0,1.5,0
62 MacArthur Cir,South Portland,ME,04106,01-116,2105,810,1.0,1.0,0
62 MacArthur Cir,South Portland,ME,04106,01-098,2105,810,1.0,1.0,0
62 MacArthur Cir,South Portland,ME,04106,01-117,2175,810,1.0,1.0,0
62 MacArthur Cir,South Portland,ME,04106,01-118,2354,990,2.0,1.5,0
62 MacArthur Cir,South Portland,ME,04106,01-078,2569,1240,2.0,2.0,0
62 MacArthur Cir,South Portland,ME,04106,01-021,2594,1240,2.0,2.0,0
62 MacArthur Cir,South Portland,ME,04106,01-079,3045,1360,3.0,2.0,0
62 MacArthur Cir,South Portland,ME,04106,01-083,3090,1360,3.0,2.0,0
201 Federal St,Portland,ME,04101,505,2365,544,1.0,1.0,0
201 Federal St,Portland,ME,04101,1304,2377,471,1.0,1.0,0
201 Federal St,Portland,ME,04101,1604,2380,471,1.0,1.0,0
201 Federal St,Portland,ME,04101,1704,2449,471,1.0,1.0,0
201 Federal St,Portland,ME,04101,903,2390,523,1.0,1.0,0
201 Federal St,Portland,ME,04101,1503,2583,523,1.0,1.0,0
201 Federal St,Portland,ME,04101,707,2434,519,1.0,1.0,0
201 Federal St,Portland,ME,04101,1707,2654,519,1.0,1.0,0
201 Federal St,Portland,ME,04101,1502,3297,665,1.0,1.0,0
201 Federal St,Portland,ME,04101,1602,3349,665,1.0,1.0,0
201 Federal St,Portland,ME,04101,902,2715,665,1.0,1.0,0
201 Federal St,Portland,ME,04101,1409,2825,586,1.0,1.0,0
201 Federal St,Portland,ME,04101,1209,2890,586,1.0,1.0,0
201 Federal St,Portland,ME,04101,901,2850,619,1.0,1.0,0
201 Federal St,Portland,ME,04101,1201,3063,619,1.0,1.0,0
201 Federal St,Portland,ME,04101,1301,3115,619,1.0,1.0,0
11 Shepley St,Portland,ME,04101,03,1850,500,1.0,1.0,0
11 Shepley St,Portland,ME,04101,54,2000,500,1.0,1.0,0
11 Shepley St,Portland,ME,04101,56,2145,500,1.0,1.0,0
144 State St,Portland,ME,04101,315,1947,366,0,1.0,0
144 State St,Portland,ME,04101,413,2272,541,1.0,1.0,0
144 State St,Portland,ME,04101,301,2272,475,1.0,1.0,0
144 State St,Portland,ME,04101,410,2514,645,1.0,1.0,0
144 State St,Portland,ME,04101,608,2741,620,1.0,1.0,0
144 State St,Portland,ME,04101,408,2521,620,1.0,1.0,0
144 State St,Portland,ME,04101,407,2633,617,1.0,1.0,0
144 State St,Portland,ME,04101,414,2272,453,1.0,1.0,0
144 State St,Portland,ME,04101,411,2719,661,1.0,1.0,0
