NAME,STREET,CITY,ZIPCODE,RENT_COST,BEDROOMS,BATHROOMS,APT_NUM,SQFT
Pointe28 (1),8 Admiral Harry Rich Dr,Brunswick,04011,2050,1.0,1.0,3-103,867
Pointe28 (2),8 Admiral Harry Rich Dr,Brunswick,04011,2050,1.0,1.0,2-103,867
Pointe28 (3),8 Admiral Harry Rich Dr,Brunswick,04011,2120,1.0,1.0,1-201,728
Pointe28 (4),8 Admiral Harry Rich Dr,Brunswick,04011,2120,1.0,1.0,2-201,728
Pointe28 (5),8 Admiral Harry Rich Dr,Brunswick,04011,2130,1.0,1.0,1-301,728
Pointe28 (6),8 Admiral Harry Rich Dr,Brunswick,04011,2130,1.0,1.0,3-301,728
Pointe28 (7),8 Admiral Harry Rich Dr,Brunswick,04011,2150,1.0,1.0,1-101,728
Pointe28 (8),8 Admiral Harry Rich Dr,Brunswick,04011,2150,1.0,1.0,3-101,728
Pointe28 (9),8 Admiral Harry Rich Dr,Brunswick,04011,2370,2.0,1.5,4-203,930
Pointe28 (10),8 Admiral Harry Rich Dr,Brunswick,04011,2370,2.0,1.5,3-203,930
Pointe28 (11),8 Admiral Harry Rich Dr,Brunswick,04011,2370,2.0,1.5,2-203,930
Pointe28 (12),8 Admiral Harry Rich Dr,Brunswick,04011,2380,2.0,1.5,2-303,930
Pointe28 (13),8 Admiral Harry Rich Dr,Brunswick,04011,2380,2.0,1.5,1-303,930
Pointe28 (14),8 Admiral Harry Rich Dr,Brunswick,04011,2380,2.0,1.5,3-303,930
Pointe28 (15),8 Admiral Harry Rich Dr,Brunswick,04011,2570,2.0,1.5,4-202,1024
Haven West (1),121 Pegasus St,Brunswick,04011,1599,2.0,1.0,126-M-7,750
Haven West (2),121 Pegasus St,Brunswick,04011,1599,2.0,1.0,121-F-7,750
Haven West (3),121 Pegasus St,Brunswick,04011,1599,2.0,1.0,126-T-7,750
Haven West (4),121 Pegasus St,Brunswick,04011,1599,2.0,1.0,121-B-4,750
Haven West (5),121 Pegasus St,Brunswick,04011,1642,2.0,1.0,126-7,750
Haven West (6),121 Pegasus St,Brunswick,04011,1642,2.0,1.0,126-T-4,750
Haven West (7),121 Pegasus St,Brunswick,04011,1642,2.0,1.0,121-H-6,750
Haven West (8),121 Pegasus St,Brunswick,04011,1642,2.0,1.0,126-P-9,750
Haven West (9),121 Pegasus St,Brunswick,04011,1642,2.0,1.0,121-L-9,750
Haven West (10),121 Pegasus St,Brunswick,04011,1642,2.0,1.0,1-126-T,750
Haven West (11),121 Pegasus St,Brunswick,04011,1669,2.0,1.0,126-R-8,750
Haven West (12),121 Pegasus St,Brunswick,04011,1683,2.0,1.0,121-H-4,750
Haven West (13),121 Pegasus St,Brunswick,04011,1689,2.0,1.0,121-D-9,750
Haven West (14),121 Pegasus St,Brunswick,04011,1692,2.0,1.0,2-121-F,750
Haven West (15),121 Pegasus St,Brunswick,04011,1705,2.0,1.0,126-O-4,750
Atlantic Pointe (1),10 Townsend Ln,Brunswick,04011,2156,1.0,1.0,9-301,671
Atlantic Pointe (2),10 Townsend Ln,Brunswick,04011,2176,1.0,1.0,101,671
Atlantic Pointe (3),10 Townsend Ln,Brunswick,04011,2196,1.0,1.0,11-205,692
Atlantic Pointe (4),10 Townsend Ln,Brunswick,04011,2201,1.0,1.0,2-401,671
Atlantic Pointe (5),10 Townsend Ln,Brunswick,04011,2226,1.0,1.0,11-105,692
Atlantic Pointe (6),10 Townsend Ln,Brunswick,04011,2237,2.0,1.5,6-204,972
Atlantic Pointe (7),10 Townsend Ln,Brunswick,04011,2247,2.0,1.5,5-302,972
Atlantic Pointe (8),10 Townsend Ln,Brunswick,04011,2247,2.0,1.5,3-304,972
Atlantic Pointe (9),10 Townsend Ln,Brunswick,04011,2247,2.0,1.5,4-304,972
Atlantic Pointe (10),10 Townsend Ln,Brunswick,04011,2247,2.0,1.5,9-304,972
Atlantic Pointe (11),10 Townsend Ln,Brunswick,04011,2247,2.0,1.5,7-302,972
Atlantic Pointe (12),10 Townsend Ln,Brunswick,04011,2251,1.0,1.0,11-405,692
Atlantic Pointe (13),10 Townsend Ln,Brunswick,04011,2267,2.0,1.5,9-104,972
Atlantic Pointe (14),10 Townsend Ln,Brunswick,04011,2267,2.0,1.5,3-104,972
Atlantic Pointe (15),10 Townsend Ln,Brunswick,04011,2292,2.0,1.5,3-404,972
Cumberland Foreside Village Apartments (1),3 Chelsea Way,Cumberland Foreside,04110,2695,2.0,1.0,CF325,948
Cumberland Foreside Village Apartments (2),3 Chelsea Way,Cumberland Foreside,04110,2695,2.0,1.0,CF337,948
Cumberland Foreside Village Apartments (3),3 Chelsea Way,Cumberland Foreside,04110,2695,2.0,1.0,CF233,948
The Eddy (1),8 Eddy Ave,Biddeford,04005,1915,0,1.0,0,473
The Eddy (2),8 Eddy Ave,Biddeford,04005,1925,0,1.0,0,475
The Eddy (3),8 Eddy Ave,Biddeford,04005,1985,0,1.0,0,474
The Eddy (4),8 Eddy Ave,Biddeford,04005,2195,1.0,1.0,0,681
The Eddy (5),8 Eddy Ave,Biddeford,04005,2465,1.0,1.0,0,681
Apartments at Brunswick Landing (1),5 Captains Way,Brunswick,04011,1995,1.0,1.0,26-104,738
Apartments at Brunswick Landing (2),5 Captains Way,Brunswick,04011,2350,2.0,1.0,30-203,907
Apartments at Brunswick Landing (3),5 Captains Way,Brunswick,04011,2350,2.0,1.0,15-201,907
Apartments at Brunswick Landing (4),5 Captains Way,Brunswick,04011,2350,2.0,1.0,42-303,907
Apartments at Brunswick Landing (5),5 Captains Way,Brunswick,04011,2350,2.0,1.0,26-203,907
Apartments at Brunswick Landing (6),5 Captains Way,Brunswick,04011,2350,2.0,1.0,201,907
