NAME,ADDR,RENT_COST,BEDROOMS,BATHROOMS,APT_NUM,SQFT

Apartments at Brunswick Landing (1),"['5 Captains Way', 'Brunswick', '04011']",1995,1.0,1.0,26-104,738

Apartments at Brunswick Landing (2),"['5 Captains Way', 'Brunswick', '04011']",2350,2.0,1.0,30-203,907

Apartments at Brunswick Landing (3),"['5 Captains Way', 'Brunswick', '04011']",2350,2.0,1.0,15-201,907

Apartments at Brunswick Landing (4),"['5 Captains Way', 'Brunswick', '04011']",2350,2.0,1.0,42-303,907

Apartments at Brunswick Landing (5),"['5 Captains Way', 'Brunswick', '04011']",2350,2.0,1.0,26-203,907

Apartments at Brunswick Landing (6),"['5 Captains Way', 'Brunswick', '04011']",2350,2.0,1.0,201,907

Apartments at Brunswick Landing (7),"['5 Captains Way', 'Brunswick', '04011']",2350,2.0,1.0,15-303,907

Apartments at Brunswick Landing (8),"['5 Captains Way', 'Brunswick', '04011']",2350,2.0,1.0,14-201,907

Apartments at Brunswick Landing (9),"['5 Captains Way', 'Brunswick', '04011']",2350,2.0,1.0,18-203,907

Apartments at Brunswick Landing (10),"['5 Captains Way', 'Brunswick', '04011']",2350,2.0,1.0,15-301,907

Apartments at Brunswick Landing (11),"['5 Captains Way', 'Brunswick', '04011']",2350,2.0,1.0,18-101,907

Apartments at Brunswick Landing (12),"['5 Captains Way', 'Brunswick', '04011']",2350,2.0,1.0,26-303,907

Liberty Commons (1),"['4 Liberty Ln', 'South Portland', '04106']",2105,1.0,1.0,1-116,810

Liberty Commons (2),"['4 Liberty Ln', 'South Portland', '04106']",2105,1.0,1.0,1-098,810

Liberty Commons (3),"['4 Liberty Ln', 'South Portland', '04106']",2130,1.0,1.0,1-110,810

Liberty Commons (4),"['4 Liberty Ln', 'South Portland', '04106']",2185,1.0,1.0,1-120,810

Liberty Commons (5),"['4 Liberty Ln', 'South Portland', '04106']",2225,1.0,1.0,1-117,810

Liberty Commons (6),"['4 Liberty Ln', 'South Portland', '04106']",2354,2.0,1.5,1-118,990

Liberty Commons (7),"['4 Liberty Ln', 'South Portland', '04106']",2569,2.0,2.0,1-078,1240

Liberty Commons (8),"['4 Liberty Ln', 'South Portland', '04106']",2594,2.0,2.0,1-021,1240

Liberty Commons (9),"['4 Liberty Ln', 'South Portland', '04106']",3045,3.0,2.0,1-079,1360

Liberty Commons (10),"['4 Liberty Ln', 'South Portland', '04106']",3090,3.0,2.0,1-083,1360

Lofts on the Levee (1),"['1 Upper Falls Rd', 'Biddeford', '04005']",1900,1.0,1.0,628,615

Lofts on the Levee (2),"['1 Upper Falls Rd', 'Biddeford', '04005']",2195,1.0,1.0,519,614

Lofts on the Levee (3),"['1 Upper Falls Rd', 'Biddeford', '04005']",2225,1.0,1.0,504,878

